Precision Recall_train	
iteration_31_Recall	,0,0.861538
iteration_31_Recall	,1,0.98
iteration_31_Recall	,2,0.985915
iteration_31_Recall	,3,0.937008
iteration_31_Recall	,4,0.977444
iteration_31_Recall	,5,0.954545
iteration_31_Recall	,6,1
iteration_31_Recall	,7,1
iteration_32_Precision	,0,1
iteration_32_Precision	,1,0.93188
iteration_32_Precision	,2,1
iteration_32_Precision	,3,0.967213
iteration_32_Precision	,4,0.970149
iteration_32_Precision	,5,1
iteration_32_Precision	,6,1
iteration_32_Precision	,7,1
iteration_32_Recall	,0,0.846154
iteration_32_Recall	,1,0.977143
iteration_32_Recall	,2,0.985915
iteration_32_Recall	,3,0.929134
iteration_32_Recall	,4,0.977444
iteration_32_Recall	,5,0.954545
iteration_32_Recall	,6,1
iteration_32_Recall	,7,1
iteration_33_Precision	,0,1
iteration_33_Precision	,1,0.939726
iteration_33_Precision	,2,1
iteration_33_Precision	,3,0.967742
iteration_33_Precision	,4,0.977444
iteration_33_Precision	,5,1
iteration_33_Precision	,6,1
iteration_33_Precision	,7,1
iteration_33_Recall	,0,0.876923
iteration_33_Recall	,1,0.98
iteration_33_Recall	,2,0.985915
iteration_33_Recall	,3,0.944882
iteration_33_Recall	,4,0.977444
iteration_33_Recall	,5,0.954545
iteration_33_Recall	,6,1
iteration_33_Recall	,7,1
iteration_34_Precision	,0,1
iteration_34_Precision	,1,0.93733
iteration_34_Precision	,2,1
iteration_34_Precision	,3,0.97541
iteration_34_Precision	,4,0.977444
iteration_34_Precision	,5,1
iteration_34_Precision	,6,1
iteration_34_Precision	,7,1
iteration_34_Recall	,0,0.876923
iteration_34_Recall	,1,0.982857
iteration_34_Recall	,2,0.985915
iteration_34_Recall	,3,0.937008
iteration_34_Recall	,4,0.977444
iteration_34_Recall	,5,0.954545
iteration_34_Recall	,6,1
iteration_34_Recall	,7,1
iteration_35_Precision	,0,1
iteration_35_Precision	,1,0.939891
iteration_35_Precision	,2,1
iteration_35_Precision	,3,0.97541
iteration_35_Precision	,4,0.981132
iteration_35_Precision	,5,1
iteration_35_Precision	,6,1
iteration_35_Precision	,7,1
iteration_35_Recall	,0,0.907692
iteration_35_Recall	,1,0.982857
iteration_35_Recall	,2,0.985915
iteration_35_Recall	,3,0.937008
iteration_35_Recall	,4,0.977444
iteration_35_Recall	,5,0.954545
iteration_35_Recall	,6,1
iteration_35_Recall	,7,1
iteration_36_Precision	,0,1
iteration_36_Precision	,1,0.942779
iteration_36_Precision	,2,1
iteration_36_Precision	,3,0.97541
iteration_36_Precision	,4,0.988593
iteration_36_Precision	,5,1
iteration_36_Precision	,6,1
iteration_36_Precision	,7,1
iteration_36_Recall	,0,0.923077
iteration_36_Recall	,1,0.988571
iteration_36_Recall	,2,0.985915
iteration_36_Recall	,3,0.937008
iteration_36_Recall	,4,0.977444
iteration_36_Recall	,5,0.954545
iteration_36_Recall	,6,1
iteration_36_Recall	,7,1
iteration_37_Precision	,0,1
iteration_37_Precision	,1,0.942779
iteration_37_Precision	,2,1
iteration_37_Precision	,3,0.97541
iteration_37_Precision	,4,0.988593
iteration_37_Precision	,5,1
iteration_37_Precision	,6,1
iteration_37_Precision	,7,1
iteration_37_Recall	,0,0.923077
iteration_37_Recall	,1,0.988571
iteration_37_Recall	,2,0.985915
iteration_37_Recall	,3,0.937008
iteration_37_Recall	,4,0.977444
iteration_37_Recall	,5,0.954545
iteration_37_Recall	,6,1
iteration_37_Recall	,7,1
iteration_38_Precision	,0,1
iteration_38_Precision	,1,0.950685
iteration_38_Precision	,2,1
iteration_38_Precision	,3,0.983471
iteration_38_Precision	,4,0.992395
iteration_38_Precision	,5,1
iteration_38_Precision	,6,1
iteration_38_Precision	,7,1
iteration_38_Recall	,0,0.923077
iteration_38_Recall	,1,0.991429
iteration_38_Recall	,2,1
iteration_38_Recall	,3,0.937008
iteration_38_Recall	,4,0.981203
iteration_38_Recall	,5,0.984848
iteration_38_Recall	,6,1
iteration_38_Recall	,7,1
iteration_39_Precision	,0,1
iteration_39_Precision	,1,0.953297
iteration_39_Precision	,2,1
iteration_39_Precision	,3,0.991667
iteration_39_Precision	,4,0.992424
iteration_39_Precision	,5,1
iteration_39_Precision	,6,1
iteration_39_Precision	,7,1
iteration_39_Recall	,0,0.938462
iteration_39_Recall	,1,0.991429
iteration_39_Recall	,2,1
iteration_39_Recall	,3,0.937008
iteration_39_Recall	,4,0.984962
iteration_39_Recall	,5,0.984848
iteration_39_Recall	,6,1
iteration_39_Recall	,7,1
iteration_40_Precision	,0,1
iteration_40_Precision	,1,0.955801
iteration_40_Precision	,2,1
iteration_40_Precision	,3,0.991736
iteration_40_Precision	,4,0.988679
iteration_40_Precision	,5,1
iteration_40_Precision	,6,1
iteration_40_Precision	,7,1
iteration_40_Recall	,0,0.938462
iteration_40_Recall	,1,0.988571
iteration_40_Recall	,2,1
iteration_40_Recall	,3,0.944882
iteration_40_Recall	,4,0.984962
iteration_40_Recall	,5,0.984848
iteration_40_Recall	,6,1
iteration_40_Recall	,7,1
iteration_41_Precision	,0,1
iteration_41_Precision	,1,0.958791
iteration_41_Precision	,2,1
iteration_41_Precision	,3,1
iteration_41_Precision	,4,0.996198
iteration_41_Precision	,5,1
iteration_41_Precision	,6,1
iteration_41_Precision	,7,1
iteration_41_Recall	,0,0.953846
iteration_41_Recall	,1,0.997143
iteration_41_Recall	,2,1
iteration_41_Recall	,3,0.944882
iteration_41_Recall	,4,0.984962
iteration_41_Recall	,5,0.984848
iteration_41_Recall	,6,1
iteration_41_Recall	,7,1
iteration_42_Precision	,0,1
iteration_42_Precision	,1,0.966667
iteration_42_Precision	,2,1
iteration_42_Precision	,3,0.99187
iteration_42_Precision	,4,0.996212
iteration_42_Precision	,5,1
iteration_42_Precision	,6,1
iteration_42_Precision	,7,1
iteration_42_Recall	,0,0.953846
iteration_42_Recall	,1,0.994286
iteration_42_Recall	,2,1
iteration_42_Recall	,3,0.96063
iteration_42_Recall	,4,0.988722
iteration_42_Recall	,5,0.984848
