,weight,gain,cover,total_gain,total_cover
feature_562,1.0,1.8774495124816895,231.23680114746094,1.8774495124816895,231.23680114746094
feature_563,2.0,3.2405953407287598,194.44070434570312,6.4811906814575195,388.88140869140625
feature_565,2.0,5.1195783615112305,419.264404296875,10.239156723022461,838.52880859375
feature_568,1.0,8.12540340423584,11.375,8.12540340423584,11.375
feature_569,2.0,3.328556537628174,131.63717651367188,6.657113075256348,263.27435302734375
feature_570,1.0,1.8484399318695068,28.44166374206543,1.8484399318695068,28.44166374206543
feature_571,2.0,7.737550735473633,285.9213562011719,15.475101470947266,571.8427124023438
feature_575,1.0,3.9980411529541016,369.1661376953125,3.9980411529541016,369.1661376953125
feature_576,3.0,4.307699680328369,218.4342041015625,12.923099517822266,655.3026123046875
feature_578,1.0,2.35140323638916,26.9078426361084,2.35140323638916,26.9078426361084
feature_579,1.0,21.191043853759766,71.95977783203125,21.191043853759766,71.95977783203125
feature_581,1.0,0.3017464876174927,8.156523704528809,0.3017464876174927,8.156523704528809
feature_582,2.0,4.947231769561768,186.36871337890625,9.894463539123535,372.7374267578125
feature_585,2.0,4.663478374481201,65.26751708984375,9.326956748962402,130.5350341796875
feature_596,2.0,2.403355598449707,37.405181884765625,4.806711196899414,74.81036376953125
feature_597,1.0,6.43886137008667,301.28424072265625,6.43886137008667,301.28424072265625
feature_598,1.0,1.9685126543045044,60.60150146484375,1.9685126543045044,60.60150146484375
feature_602,1.0,3.1327502727508545,208.8309783935547,3.1327502727508545,208.8309783935547
feature_603,1.0,1.6401011943817139,164.23849487304688,1.6401011943817139,164.23849487304688
